Sample_number,Avg_EUBAC
" 1a ( 0-10cm)A1,A",3.10E+07
"2a (50-60cm)A1,A",7.26E+10
"3a(140-150cm)A1,A",1.19E+10
"5a(0-10cm)A2,A",1.69E+11
"5b(0-10cm)A2,A",
"6a(50-60cm)A2,A",2.19E+11
"6b(50-60cm)A2,A",
"7a(0-10cm)A2,B",2.14E+11
"7b(0-10cm)A2,B",
"8a(50-60cm)A2,B",2.72E+10
"8b(50-60cm)A2,B",
"9a(0-10cm)A2,C",7.05E+10
"9b(0-10cm)A2,C",
"10a(50-60cm)A2,C",7.98E+09
"10b(50-60cm)A2,C",
"11a(0-10cm)A2,D",6.31E+10
"11b(0-10cm)A2,D",
"12a(50-60cm)A2,D",9.24E+09
"12b(50-60cm)A2,D",
"13a(0-10cm)A1,B",8.43E+10
"13b(0-10cm)A1,B",
"14a(50-60cm)A1,B",8.06E+09
"14b50-60cm)A1,B",
"15a(0-10cm)A1,B",8.30E+10
"15b(0-10cm)A1,B",
"16a(50-60cm)A1,C",2.55E+09
"16b(50-60cm)A1,C",
"17a(0-10cm)A1,D",1.16E+11
"17b(0-10cm)A1,D",
"18a(50-60cm)A1,D",2.00E+09
"18b(50-60cm)A1,D",
"19a(0-10cm)S,A",2.35E+10
"19b(0-10cm)S,A",
"20a(20-30cm)S,A",3.49E+10
"20b(20-30cm)S,A",
"21a(0-10cm)S,B",1.98E+10
"21b(0-10cm)S,B",
"22a(30-40cm)S,B",4.12E+09
"22b(30-40cm)S,B",
"23a(0-10cm)S,C",1.73E+10
"23b(0-10cm)S,C",
"24a(0-2cm)S,D",3.05E+12
"24b(0-2cm)S,D",
"25a(0-10cm)C,A",4.21E+09
"25b(0-10cm)C,A",
"26a(20-30cm)C,A",1.67E+09
"26b(20-30cm)C,A",
"27a(0-10cm)C,B",7.31136E+11
"27b(0-10cm)C,B",
"28a(20-30cm)C,B",87987485695
"28b(20-30cm)C,B",
"29a(0-10cm)C,C",4.86233E+11
"29b(0-10cm)C,C",
"30a(20-30cm)C,C",3.81513E+11
"30b(20-30cm)C,C",
"31a(0-10cm)C,D",2.40456E+11
"31b(0-10cm)C,D",
"32a(20-30cm)C,D",1.93E+09
"32b(20-30cm)C,D",
