Sample_number,Avg_DSBR
" 1a ( 0-10cm)A1,A",3.18E+08
"1b (0-10cm)A1,A",
"2a (50-60cm)A1,A",2.64E+07
"2b(50-60cm)A1,A",
"3a(140-150cm)A1,A",1.64E+07
"3b(140-150cm)A1,A",
"5a(0-10cm)A2,A",1.03E+08
"5b(0-10cm)A2,A",
"6a(50-60cm)A2,A",1.07E+08
"6b(50-60cm)A2,A",
"7a(0-10cm)A2,B",5.58E+07
"7b(0-10cm)A2,B",
"8a(50-60cm)A2,B",1.38E+06
"8b(50-60cm)A2,B",
"9a(0-10cm)A2,C",1.05E+08
"9b(0-10cm)A2,C",
"10a(50-60cm)A2,C",1.85E+07
"10b(50-60cm)A2,C",
"11a(0-10cm)A2,D",6.78E+07
"11b(0-10cm)A2,D",
"12a(50-60cm)A2,D",1.39E+06
"12b(50-60cm)A2,D",
"13a(0-10cm)A1,B",3.21E+08
"13b(0-10cm)A1,B",
"14a(50-60cm)A1,B",3.38E+07
"14b50-60cm)A1,B",
"15a(0-10cm)A1,B",1.18E+08
"15b(0-10cm)A1,B",
"16a(50-60cm)A1,C",3.29E+06
"16b(50-60cm)A1,C",
"17a(0-10cm)A1,D",2.31E+08
"17b(0-10cm)A1,D",
"18a(50-60cm)A1,D",
"18b(50-60cm)A1,D",
"19a(0-10cm)S,A",
"19b(0-10cm)S,A",
"20a(20-30cm)S,A",
"20b(20-30cm)S,A",
"21a(0-10cm)S,B",9.74E+05
"21b(0-10cm)S,B",
"22a(30-40cm)S,B",
"22b(30-40cm)S,B",
"23a(0-10cm)S,C",
"23b(0-10cm)S,C",
"24a(0-2cm)S,D",
"24b(0-2cm)S,D",
"25a(0-10cm)C,A",
"25b(0-10cm)C,A",
"26a(20-30cm)C,A",7.20E+07
"26b(20-30cm)C,A",
"27a(0-10cm)C,B",5.84E+05
"27b(0-10cm)C,B",
"28a(20-30cm)C,B",
"28b(20-30cm)C,B",
"29a(0-10cm)C,C",2.90E+05
"29b(0-10cm)C,C",
"30a(20-30cm)C,C",3.56E+05
"30b(20-30cm)C,C",
"31a(0-10cm)C,D",
"31b(0-10cm)C,D",
"32a(20-30cm)C,D",
"32b(20-30cm)C,D",
