Sample_number,Avg_MCRA
" 1a ( 0-10cm)A1,A",4.82E+06
"1b (0-10cm)A1,A",
"2a (50-60cm)A1,A",2.18E+05
"2b(50-60cm)A1,A",
"3a(140-150cm)A1,A",1.23E+06
"3b(140-150cm)A1,A",
"5a(0-10cm)A2,A",3.65E+07
"5b(0-10cm)A2,A",
"6a(50-60cm)A2,A",3.17E+07
"6b(50-60cm)A2,A",
"7a(0-10cm)A2,B",9.33E+06
"7b(0-10cm)A2,B",
"8a(50-60cm)A2,B",1.03E+06
"8b(50-60cm)A2,B",
"9a(0-10cm)A2,C",2.45E+08
"9b(0-10cm)A2,C",
"10a(50-60cm)A2,C",2.17E+07
"10b(50-60cm)A2,C",
"11a(0-10cm)A2,D",7.61E+07
"11b(0-10cm)A2,D",
"12a(50-60cm)A2,D",1.78E+05
"12b(50-60cm)A2,D",
"13a(0-10cm)A1,B",3.38E+07
"13b(0-10cm)A1,B",
"14a(50-60cm)A1,B",3.56E+05
"14b50-60cm)A1,B",
"15a(0-10cm)A1,B",2.51E+06
"15b(0-10cm)A1,B",
"16a(50-60cm)A1,C",
"16b(50-60cm)A1,C",
"17a(0-10cm)A1,D",1.50E+07
"17b(0-10cm)A1,D",
"18a(50-60cm)A1,D",1.68E+07
"18b(50-60cm)A1,D",
"19a(0-10cm)S,A",
"19b(0-10cm)S,A",
"20a(20-30cm)S,A",1.42E+05
"20b(20-30cm)S,A",
"21a(0-10cm)S,B",
"21b(0-10cm)S,B",
"22a(30-40cm)S,B",
"22b(30-40cm)S,B",
"23a(0-10cm)S,C",
"23b(0-10cm)S,C",
"24a(0-2cm)S,D",2.79E+05
"24b(0-2cm)S,D",
"25a(0-10cm)C,A",1.72E+05
"25b(0-10cm)C,A",
"26a(20-30cm)C,A",1.81E+05
"26b(20-30cm)C,A",
"27a(0-10cm)C,B",
"27b(0-10cm)C,B",
"28a(20-30cm)C,B",9.19E+05
"28b(20-30cm)C,B",
"29a(0-10cm)C,C",1.30E+05
"29b(0-10cm)C,C",
"30a(20-30cm)C,C",
"30b(20-30cm)C,C",
"31a(0-10cm)C,D",
"31b(0-10cm)C,D",
"32a(20-30cm)C,D",
"32b(20-30cm)C,D",
