Sample_number,Avg_PMOA661
" 1a ( 0-10cm)A1,A",3.23E+07
"1b (0-10cm)A1,A",
"2a (50-60cm)A1,A",2.77E+06
"2b(50-60cm)A1,A",
"3a(140-150cm)A1,A",2.75E+07
"3b(140-150cm)A1,A",
"5a(0-10cm)A2,A",2.48E+07
"5b(0-10cm)A2,A",
"6a(50-60cm)A2,A",5.53E+06
"6b(50-60cm)A2,A",
"7a(0-10cm)A2,B",4.91E+06
"7b(0-10cm)A2,B",
"8a(50-60cm)A2,B",4.77E+05
"8b(50-60cm)A2,B",
"9a(0-10cm)A2,C",3.27E+07
"9b(0-10cm)A2,C",
"10a(50-60cm)A2,C",1.69E+07
"10b(50-60cm)A2,C",
"11a(0-10cm)A2,D",1.86E+07
"11b(0-10cm)A2,D",
"12a(50-60cm)A2,D",1.16E+06
"12b(50-60cm)A2,D",
"13a(0-10cm)A1,B",1.41E+08
"13b(0-10cm)A1,B",
"14a(50-60cm)A1,B",1.22E+07
"14b50-60cm)A1,B",
"15a(0-10cm)A1,B",2.31E+07
"15b(0-10cm)A1,B",
"16a(50-60cm)A1,C",4.84E+06
"16b(50-60cm)A1,C",
"17a(0-10cm)A1,D",8.66E+07
"17b(0-10cm)A1,D",
"18a(50-60cm)A1,D",7.40E+05
"18b(50-60cm)A1,D",
"19a(0-10cm)S,A",8.10E+04
"19b(0-10cm)S,A",
"20a(20-30cm)S,A",3.08E+04
"20b(20-30cm)S,A",
"21a(0-10cm)S,B",9.36E+05
"21b(0-10cm)S,B",
"22a(30-40cm)S,B",1.55E+07
"22b(30-40cm)S,B",
"23a(0-10cm)S,C",4.89E+06
"23b(0-10cm)S,C",
"24a(0-2cm)S,D",8.69E+05
"24b(0-2cm)S,D",
"25a(0-10cm)C,A",
"25b(0-10cm)C,A",
"26a(20-30cm)C,A",9.08E+05
"26b(20-30cm)C,A",
"27a(0-10cm)C,B",1.39E+04
"27b(0-10cm)C,B",
"28a(20-30cm)C,B",2.54E+04
"28b(20-30cm)C,B",
"29a(0-10cm)C,C",
"29b(0-10cm)C,C",
"30a(20-30cm)C,C",1.10E+06
"30b(20-30cm)C,C",
"31a(0-10cm)C,D",1.55E+05
"31b(0-10cm)C,D",
"32a(20-30cm)C,D",4.86E+05
"32b(20-30cm)C,D",
